antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'animal'}),frozenset({'zebra'}),0.14634146341463414,0.36585365853658536,0.12195121951219512,0.8333333333333334,2.277777777777778,1.0,0.06841165972635337,3.8048780487804885,0.6571428571428573,0.3125,0.7371794871794872,0.5833333333333334
frozenset({'earth'}),frozenset({'bbc'}),0.14634146341463414,0.12195121951219512,0.12195121951219512,0.8333333333333334,6.833333333333334,1.0,0.1041046995835812,5.26829268292683,1.0000000000000002,0.8333333333333333,0.8101851851851852,0.9166666666666667
frozenset({'bbc'}),frozenset({'earth'}),0.12195121951219512,0.14634146341463414,0.12195121951219512,1.0,6.833333333333334,1.0,0.1041046995835812,inf,0.9722222222222223,0.8333333333333333,1.0,0.9166666666666667
frozenset({'beautiful'}),frozenset({'zebra'}),0.17073170731707318,0.36585365853658536,0.12195121951219512,0.7142857142857142,1.952380952380952,1.0,0.059488399762046396,2.2195121951219505,0.5882352941176471,0.2941176470588235,0.5494505494505493,0.5238095238095237
frozenset({'journey'}),frozenset({'zebra'}),0.17073170731707318,0.36585365853658536,0.12195121951219512,0.7142857142857142,1.952380952380952,1.0,0.059488399762046396,2.2195121951219505,0.5882352941176471,0.2941176470588235,0.5494505494505493,0.5238095238095237
